Timestamp,Event
1740155681666,Mouse moved from (902, 583) to (648, 500) (outside window)
1740155681811,Mouse moved from (648, 500) to (650, 495) (outside window)
1740155681823,Mouse moved from (650, 495) to (656, 490) (outside window)
1740155681833,Mouse moved from (656, 490) to (674, 475) (outside window)
1740155681846,Mouse moved from (674, 475) to (683, 470) (outside window)
1740155681859,Mouse moved from (683, 470) to (707, 458) (outside window)
1740155681871,Mouse moved from (707, 458) to (730, 448) (inside window)
1740155681896,Mouse moved from (730, 448) to (792, 443) (inside window)
1740155681909,Mouse moved from (792, 443) to (815, 448) (inside window)
1740155681921,Mouse moved from (815, 448) to (833, 456) (inside window)
1740155681931,Mouse moved from (833, 456) to (845, 468) (inside window)
1740155681944,Mouse moved from (845, 468) to (851, 477) (inside window)
1740155681957,Mouse moved from (851, 477) to (855, 491) (inside window)
1740155681970,Mouse moved from (855, 491) to (855, 500) (inside window)
1740155681982,Mouse moved from (855, 500) to (854, 504) (inside window)
1740155681998,Mouse moved from (854, 504) to (849, 510) (inside window)
1740155682009,Mouse moved from (849, 510) to (843, 513) (inside window)
1740155682022,Mouse moved from (843, 513) to (830, 516) (inside window)
1740155682035,Mouse moved from (830, 516) to (811, 518) (inside window)
1740155682047,Mouse moved from (811, 518) to (801, 519) (inside window)
1740155682059,Mouse moved from (801, 519) to (778, 519) (inside window)
1740155682072,Mouse moved from (778, 519) to (761, 519) (inside window)
1740155682084,Mouse moved from (761, 519) to (751, 519) (inside window)
1740155682096,Mouse moved from (751, 519) to (736, 516) (inside window)
1740155682108,Mouse moved from (736, 516) to (733, 516) (inside window)
1740155682121,Mouse moved from (733, 516) to (724, 514) (inside window)
1740155682133,Mouse moved from (724, 514) to (721, 513) (inside window)
1740155682145,Mouse moved from (721, 513) to (716, 512) (inside window)
1740155682156,Mouse moved from (716, 512) to (714, 512) (inside window)
1740155682166,Mouse moved from (714, 512) to (713, 512) (inside window)
1740155682179,Mouse moved from (713, 512) to (711, 512) (outside window)
1740155682216,Mouse moved from (711, 512) to (711, 513) (outside window)
1740155682229,Mouse moved from (711, 513) to (712, 515) (inside window)
1740155682242,Mouse moved from (712, 515) to (715, 519) (inside window)
1740155682254,Mouse moved from (715, 519) to (717, 522) (inside window)
1740155682267,Mouse moved from (717, 522) to (720, 529) (inside window)
1740155682280,Mouse moved from (720, 529) to (722, 537) (inside window)
1740155682292,Mouse moved from (722, 537) to (723, 542) (inside window)
1740155682305,Mouse moved from (723, 542) to (723, 547) (inside window)
1740155682317,Mouse moved from (723, 547) to (723, 550) (inside window)
1740155682329,Mouse moved from (723, 550) to (723, 555) (inside window)
1740155682340,Mouse moved from (723, 555) to (723, 557) (inside window)
1740155682351,Mouse moved from (723, 557) to (723, 559) (inside window)
1740155682375,Mouse moved from (723, 559) to (723, 560) (inside window)
1740155682423,Mouse moved from (723, 560) to (722, 560) (inside window)
1740155682458,Mouse clicked: [false, true, false, false, false]
1740155682542,Mouse clicked: [false, false, false, false, false]
1740155682650,Mouse moved from (722, 560) to (722, 561) (inside window)
1740155682662,Mouse moved from (722, 561) to (719, 566) (inside window)
1740155682675,Mouse moved from (719, 566) to (717, 568) (inside window)
1740155682688,Mouse moved from (717, 568) to (711, 572) (outside window)
1740155682698,Mouse moved from (711, 572) to (707, 574) (outside window)
1740155682709,Mouse moved from (707, 574) to (691, 582) (outside window)
1740155682721,Mouse moved from (691, 582) to (686, 582) (outside window)
1740155682731,Mouse moved from (686, 582) to (679, 585) (outside window)
1740155682742,Mouse moved from (679, 585) to (670, 588) (outside window)
1740155682755,Mouse moved from (670, 588) to (666, 589) (outside window)
1740155682766,Mouse moved from (666, 589) to (660, 591) (outside window)
1740155682777,Mouse moved from (660, 591) to (659, 592) (outside window)
1740155682788,Mouse clicked: [false, true, false, false, false]
1740155682874,Mouse clicked: [false, false, false, false, false]
